Date,Prices,Buy,Sell
2023-03-02,144.91358947753906,0.0,0.0
2023-03-03,145.511962890625,0.0,0.0
2023-03-04,150.6179962158203,0.0,0.0
2023-03-05,150.6179962158203,1.0,1.0
2023-03-06,150.6179962158203,1.0,1.0
2023-03-07,153.4103546142578,1.0,1.0
2023-03-08,151.1864471435547,1.0,1.0
2023-03-09,152.45297241210938,1.0,1.0
2023-03-10,150.17918395996094,1.0,1.0
2023-03-11,148.0948944091797,1.0,1.0
2023-03-12,148.0948944091797,1.0,1.0
2023-03-13,148.0948944091797,1.0,1.0
2023-03-14,150.0595245361328,1.0,1.0
2023-03-15,152.17373657226562,1.0,1.0
2023-03-16,152.57266235351562,1.0,1.0
2023-03-17,155.4248504638672,1.0,1.0
2023-03-18,154.57716369628906,1.0,1.0
2023-03-19,154.57716369628906,1.0,1.0
2023-03-20,154.57716369628906,1.0,1.0
2023-03-21,156.97061157226562,1.0,1.0
2023-03-22,158.84547424316406,1.0,1.0
2023-03-23,157.39944458007812,1.0,1.0
2023-03-24,158.49642944335938,1.0,1.0
2023-03-25,159.81285095214844,1.0,0.0
2023-03-26,159.81285095214844,1.0,0.0
2023-03-27,159.81285095214844,1.0,1.0
2023-03-28,157.8482208251953,1.0,0.0
2023-03-29,157.2199249267578,1.0,0.0
2023-03-30,160.33143615722656,1.0,1.0
2023-03-31,161.91709899902344,1.0,1.0
2023-04-01,164.4501495361328,1.0,0.0
2023-04-02,164.4501495361328,1.0,0.0
2023-04-03,164.4501495361328,1.0,0.0
2023-04-04,165.71669006347656,1.0,1.0
2023-04-05,165.1781768798828,1.0,1.0
2023-04-06,163.31326293945312,1.0,1.0
2023-04-07,164.2108154296875,1.0,1.0
2023-04-08,164.2108154296875,1.0,1.0
2023-04-09,164.2108154296875,1.0,1.0
2023-04-10,164.2108154296875,1.0,1.0
2023-04-11,161.58798217773438,1.0,1.0
2023-04-12,160.36134338378906,1.0,1.0
2023-04-13,159.6632537841797,1.0,1.0
2023-04-14,165.1083526611328,1.0,1.0
2023-04-15,164.7593231201172,1.0,1.0
2023-04-16,164.7593231201172,1.0,1.0
2023-04-17,164.7593231201172,1.0,1.0
2023-04-18,164.7792510986328,1.0,1.0
2023-04-19,166.01588439941406,1.0,1.0
2023-04-20,167.1727294921875,1.0,1.0
2023-04-21,166.19537353515625,1.0,1.0
2023-04-22,164.56983947753906,1.0,1.0
2023-04-23,164.56983947753906,1.0,1.0
2023-04-24,164.56983947753906,1.0,1.0
2023-04-25,164.8789825439453,1.0,1.0
2023-04-26,163.3232421875,1.0,1.0
2023-04-27,163.31326293945312,1.0,1.0
2023-04-28,167.95059204101562,1.0,1.0
2023-04-29,169.2171173095703,1.0,1.0
2023-04-30,169.2171173095703,1.0,1.0
2023-05-01,169.2171173095703,1.0,1.0
2023-05-02,169.1273651123047,1.0,1.0
2023-05-03,168.08021545410156,1.0,1.0
2023-05-04,166.99319458007812,1.0,1.0
2023-05-05,165.3377227783203,1.0,1.0
2023-05-06,173.0965118408203,1.0,1.0
